Name,Kilometers,Fuel_Clean,Price_clean,Year,Brand,Model,Features
2010 Mercedes-Benz E-Class E250 CDI BlueEfficiency,69000,Diesel,799000.0,2010,Mercedes-Benz,E-Class,E250 CDI BlueEfficiency
2016 Land Rover Discovery Sport SE 7-Seater,111940,Diesel,1850000.0,2016,Land Rover,Discovery Sport,SE 7-Seater
2024 Jeep Meridian Overland 4x2 AT,12000,Diesel,3600000.0,2024,Jeep,Meridian,Overland 4x2 AT
2015 Volkswagen Polo Highline1.2L (P),81500,Petrol,450000.0,2015,Volkswagen,Polo,Highline1.2L (P)
2019 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2016-2017],60846,Petrol,525000.0,2019,Hyundai,Grand i10,Magna 1.2 Kappa VTVT [2016-2017]
2023 Mercedes-Benz EQS 580 4MATIC,2892,Electric,11000000.0,2023,Mercedes-Benz,EQS,580 4MATIC
2020 Mahindra NuvoSport N8 AMT,73756,Diesel,650000.0,2020,Mahindra,NuvoSport,N8 AMT
2023 Mercedes-Benz EQE SUV 500 4MATIC,33000,Electric,8000000.0,2023,Mercedes-Benz,EQE,SUV 500 4MATIC
2022 Toyota Urban Cruiser Hyryder V Hybrid [2022-2023],43159,Petrol,1500000.0,2022,Toyota,Urban Cruiser Hyryder,V Hybrid [2022-2023]
2024 Toyota Urban Cruiser Hyryder V Hybrid [2023-2025],7500,Petrol,2000000.0,2024,Toyota,Urban Cruiser Hyryder,V Hybrid [2023-2025]
2015 Nissan Terrano XV D THP 110 PS,136559,Diesel,360000.0,2015,Nissan,Terrano,XV D THP 110 PS
2022 Honda City Hybrid eHEV ZX eHEV,59957,Petrol,1595000.0,2022,Honda,City,Hybrid eHEV ZX eHEV
2025 Mercedes-Benz GLC 220d 4MATIC,10000,Diesel,7200000.0,2025,Mercedes-Benz,GLC,220d 4MATIC
2023 Mercedes-Benz GLS 400d 4MATIC [2020-2023],22000,Diesel,12700000.0,2023,Mercedes-Benz,GLS,400d 4MATIC [2020-2023]
2022 Hyundai Santro Magna CNG,53282,Petrol,498000.0,2022,Hyundai,Santro,Magna CNG
2021 Audi e-tron 55 [2021-2024],15664,Electric,6500000.0,2021,Audi,e-tron,55 [2021-2024]
2016 BMW X1 sDrive20d Expedition,80492,Diesel,1550000.0,2016,BMW,X1,sDrive20d Expedition
2022 BMW 7-Series 740 Li M Sport,42639,Petrol,9200000.0,2022,BMW,7-Series,740 Li M Sport
2023 Mercedes-Benz A-Class Limousine 200,13000,Petrol,3850000.0,2023,Mercedes-Benz,A-Class Limousine,200
2024 Tata Tigor XZA Plus iCNG [2024-2025],23967,Petrol,750000.0,2024,Tata,Tigor,XZA Plus iCNG [2024-2025]
2023 Mercedes-Benz EQB 350 4MATIC,7000,Electric,6050000.0,2023,Mercedes-Benz,EQB,350 4MATIC
2022 Tata Altroz XZA Plus Petrol [2022-2023],24929,Petrol,729000.0,2022,Tata,Altroz,XZA Plus Petrol [2022-2023]
2013 Toyota Fortuner 3.0 4x4 MT,233700,Diesel,1150000.0,2013,Toyota,Fortuner,3.0 4x4 MT
2013 Toyota Corolla Altis 1.8 G,47763,Petrol,375000.0,2013,Toyota,Corolla Altis,1.8 G
2021 Maruti Suzuki Baleno Zeta 1.2,103779,Petrol,495000.0,2021,Maruti Suzuki,Baleno,Zeta 1.2
2013 Toyota Innova 2.5 GX 8 STR BS-IV,157595,Diesel,725000.0,2013,Toyota,Innova,2.5 GX 8 STR BS-IV
2016 Land Rover Discovery Sport HSE 7-Seater,43000,Diesel,2250000.0,2016,Land Rover,Discovery Sport,HSE 7-Seater
2016 Audi A4 35 TDI Premium Plus,47600,Diesel,1650000.0,2016,Audi,A4,35 TDI Premium Plus
2019 Hyundai Creta 1.6 SX Plus AT Petrol,88450,Petrol,950000.0,2019,Hyundai,Creta,1.6 SX Plus AT Petrol
2019 Audi Q3 30 TFSI Premium,46000,Petrol,2100000.0,2019,Audi,Q3,30 TFSI Premium
2019 Hyundai Elite i20 Sportz Plus 1.4 CRDi,114308,Diesel,715000.0,2019,Hyundai,Elite i20,Sportz Plus 1.4 CRDi
2017 Honda WR-V VX MT Diesel,90000,Diesel,675000.0,2017,Honda,WR-V,VX MT Diesel
2019 Hyundai Verna SX (O) 1.6 CRDi,81383,Diesel,1150000.0,2019,Hyundai,Verna,SX (O) 1.6 CRDi
2022 Mercedes-Benz E-Class E 220 d Avantgarde,6250000,Diesel,6250000.0,2022,Mercedes-Benz,E-Class,E 220 d Avantgarde
2015 BMW 3 Series GT 320d Luxury Line [2014-2016],85000,Diesel,1595000.0,2015,BMW,3 Series,GT 320d Luxury Line [2014-2016]
2015 Audi A3 35 TDI Premium Plus + Sunroof,101000,Diesel,1025000.0,2015,Audi,A3,35 TDI Premium Plus + Sunroof
2017 Audi Q5 3.0 TDI quattro Premium Plus,69000,Diesel,1650000.0,2017,Audi,Q5,3.0 TDI quattro Premium Plus
2011 Hyundai i10 1.2 L Kappa Magna Special Edition,68000,Petrol,210000.0,2011,Hyundai,i10,1.2 L Kappa Magna Special Edition
2024 Mercedes-Benz GLS 450d 4MATIC,8000,Diesel,15100000.0,2024,Mercedes-Benz,GLS,450d 4MATIC
2017 Tata Nexon XZ Plus Diesel Dual Tone,1038000,Diesel,700000.0,2017,Tata,Nexon,XZ Plus Diesel Dual Tone
2015 Honda City V,152370,Petrol,535000.0,2015,Honda,City,V
2018 Isuzu D-Max V-Cross 4x4,116841,Diesel,1420000.0,2018,Isuzu,D-Max,V-Cross 4x4
2021 Kia Sonet HTX 1.5 [2020-2021],111042,Diesel,1050000.0,2021,Kia,Sonet,HTX 1.5 [2020-2021]
2021 MG Hector Sharp 2.0 Diesel Turbo MT,82000,Diesel,1370000.0,2021,MG,Hector,Sharp 2.0 Diesel Turbo MT
2013 Audi A6 2.0 TDI Premium,90520,Diesel,1061000.0,2013,Audi,A6,2.0 TDI Premium
2011 Chevrolet Cruze LTZ AT,110000,Diesel,350000.0,2011,Chevrolet,Cruze,LTZ AT
2013 Toyota Innova 2.5 G 8 STR BS-IV,103000,Petrol,695000.0,2013,Toyota,Innova,2.5 G 8 STR BS-IV
2018 Mercedes-Benz GLA 200 d Sport,49000,Diesel,1875000.0,2018,Mercedes-Benz,GLA,200 d Sport
2025 Mercedes-Benz CLE cabriolet 300 AMG Line,1000,Petrol,10500000.0,2025,Mercedes-Benz,CLE,cabriolet 300 AMG Line
2013 Hyundai i10 1.1L iRDE Magna Special Edition,112326,Petrol,235000.0,2013,Hyundai,i10,1.1L iRDE Magna Special Edition
2023 Mercedes-Benz E-Class E 220 d Avantgarde,200,Diesel,7000000.0,2023,Mercedes-Benz,E-Class,E 220 d Avantgarde
2020 Toyota Innova Crysta 2.4 V Diesel,221690,Diesel,1850000.0,2020,Toyota,Innova Crysta,2.4 V Diesel
2022 Toyota Glanza V AMT [2022-2023],70169,Petrol,700000.0,2022,Toyota,Glanza,V AMT [2022-2023]
2016 Toyota Etios VXD Xclusive,149850,Diesel,650000.0,2016,Toyota,Etios,VXD Xclusive
2021 Volkswagen Taigun Highline 1.0 TSI AT,30824,Petrol,1070000.0,2021,Volkswagen,Taigun,Highline 1.0 TSI AT
2014 BMW 3 Series GT 320d Sport Line [2014-2016],82591,Diesel,1600000.0,2014,BMW,3 Series,GT 320d Sport Line [2014-2016]
2020 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],57019,Diesel,6500000.0,2020,Mercedes-Benz,GLE,300d 4MATIC LWB [2020-2023]
2019 Audi Q3 2.0 TDI quattro Premium Plus,77359,Diesel,2300000.0,2019,Audi,Q3,2.0 TDI quattro Premium Plus
2025 Mercedes-Benz EQS SUV 450 5 Seater,3000,Electric,12200000.0,2025,Mercedes-Benz,EQS,SUV 450 5 Seater
2020 Toyota Urban Cruiser Premium Grade MT,91580,Petrol,670000.0,2020,Toyota,Urban Cruiser,Premium Grade MT
2014 Honda City 1.5 S MT,103543,Petrol,425000.0,2014,Honda,City,1.5 S MT
2021 Skoda Kushaq Ambition 1.0L TSI AT,89650,Petrol,1095000.0,2021,Skoda,Kushaq,Ambition 1.0L TSI AT
2025 Hyundai Exter SX 1.2 AMT Knight Edition,12200,Petrol,850000.0,2025,Hyundai,Exter,SX 1.2 AMT Knight Edition
2024 Audi Q7 Bold Edition,4500,Petrol,8000000.0,2024,Audi,Q7,Bold Edition
2017 Maruti Suzuki Ignis Zeta 1.2 AMT,64123,Petrol,484999.0,2017,Maruti Suzuki,Ignis,Zeta 1.2 AMT
2021 Mahindra Bolero N10 (O),41735,Diesel,900000.0,2021,Mahindra,Bolero,N10 (O)
2013 Toyota Fortuner 3.0 4x4 MT,175351,Diesel,1250000.0,2013,Toyota,Fortuner,3.0 4x4 MT
2022 Renault Kiger RXZ Turbo CVT,29807,Petrol,802999.0,2022,Renault,Kiger,RXZ Turbo CVT
2024 Mercedes-Benz C-Class C 300,1108,Petrol,7000000.0,2024,Mercedes-Benz,C-Class,C 300
2024 Mercedes-Benz GLE 450 4MATIC LWB [2020-2023],9434,Petrol,12000000.0,2024,Mercedes-Benz,GLE,450 4MATIC LWB [2020-2023]
2021 Kia Sonet HTX 1.0 iMT [2020-2021],58681,Petrol,764000.0,2021,Kia,Sonet,HTX 1.0 iMT [2020-2021]
2018 Jeep Compass Limited 2.0 Diesel [2017-2020],78334,Diesel,875000.0,2018,Jeep,Compass,Limited 2.0 Diesel [2017-2020]
2019 Maruti Suzuki Vitara Brezza ZDi Plus,112700,Diesel,810000.0,2019,Maruti Suzuki,Vitara Brezza,ZDi Plus
2016 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],259843,Diesel,1550000.0,2016,Toyota,Innova Crysta,2.8 ZX AT 7 STR [2016-2020]
2018 Maruti Suzuki Swift VXi AMT [2018-2019],75000,Petrol,555000.0,2018,Maruti Suzuki,Swift,VXi AMT [2018-2019]
2012 Toyota Fortuner 3.0 4x2 MT,197000,Diesel,1145000.0,2012,Toyota,Fortuner,3.0 4x2 MT
2022 Hyundai Creta S Plus 1.5 Diesel Knight,92542,Diesel,1550000.0,2022,Hyundai,Creta,S Plus 1.5 Diesel Knight
2021 Tata Safari XT Plus,51243,Diesel,1420000.0,2021,Tata,Safari,XT Plus
2018 Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],57000,Petrol,465000.0,2018,Hyundai,Grand i10,Sportz (O) 1.2 Kappa VTVT [2017-2018]
2010 Toyota Corolla Altis 1.8 G,100050,Petrol,275000.0,2010,Toyota,Corolla Altis,1.8 G
2018 Audi Q3 30 TDI Premium FWD,78798,Diesel,1850000.0,2018,Audi,Q3,30 TDI Premium FWD
2024 Mercedes-Benz GLA 220d [2021-2023],15900,Diesel,4700000.0,2024,Mercedes-Benz,GLA,220d [2021-2023]
2024 Mercedes-Benz GLE 450 4MATIC LWB [2020-2023],10911,Petrol,9600000.0,2024,Mercedes-Benz,GLE,450 4MATIC LWB [2020-2023]
2023 Volkswagen Virtus Topline 1.0 TSI AT,32424,Petrol,1375000.0,2023,Volkswagen,Virtus,Topline 1.0 TSI AT
2023 Mercedes-Benz EQB 350 4MATIC,32000,Electric,4600000.0,2023,Mercedes-Benz,EQB,350 4MATIC
2024 Mercedes-Benz EQA 250 Plus,21000,Electric,4100000.0,2024,Mercedes-Benz,EQA,250 Plus
2023 Hyundai Aura SX 1.2 CNG,57000,Petrol,710000.0,2023,Hyundai,Aura,SX 1.2 CNG
2019 BMW X3 xDrive 20d Luxury Line [2018-2020],55154,Diesel,3400000.0,2019,BMW,X3,xDrive 20d Luxury Line [2018-2020]
2016 BMW 3 Series GT 320d Luxury Line [2014-2016],77858,Diesel,1789999.0,2016,BMW,3 Series,GT 320d Luxury Line [2014-2016]
2022 BMW X1 sDrive20d xLine,23236,Diesel,3900000.0,2022,BMW,X1,sDrive20d xLine
2014 Honda Amaze 1.2 S i-VTEC,83849,Petrol,310000.0,2014,Honda,Amaze,1.2 S i-VTEC
2024 Mercedes-Benz AMG GLC 43 Coupe 4MATIC,7199,Petrol,12000000.0,2024,Mercedes-Benz,AMG,GLC 43 Coupe 4MATIC
2020 Volkswagen Polo Comfortline Plus 1.0L MPI,75384,Petrol,575000.0,2020,Volkswagen,Polo,Comfortline Plus 1.0L MPI
2021 Skoda Kushaq Style 1.5L TSI DSG (6 Airbags),32700,Petrol,1500000.0,2021,Skoda,Kushaq,Style 1.5L TSI DSG (6 Airbags)
2022 Kia Sonet HTX 1.0 iMT [2020-2021],18508,Petrol,861999.0,2022,Kia,Sonet,HTX 1.0 iMT [2020-2021]
2024 Mercedes-Benz C-Class C 220d [2022-2023],10500,Diesel,5500000.0,2024,Mercedes-Benz,C-Class,C 220d [2022-2023]
2012 Mini Cooper S 3 Door [2018-2020],49300,Petrol,1400000.0,2012,Mini,Cooper,S 3 Door [2018-2020]
2019 Mercedes-Benz GLA 200d Urban Edition,60000,Diesel,2050000.0,2019,Mercedes-Benz,GLA,200d Urban Edition
2024 Audi A6 Technology 45 TFSI [2019-2024],9000,Petrol,5400000.0,2024,Audi,A6,Technology 45 TFSI [2019-2024]
2023 Tata Tigor XZA Plus [2020-2023],11021,Petrol,790000.0,2023,Tata,Tigor,XZA Plus [2020-2023]
2024 Audi Q3 Sportback Technology,17000,Petrol,4100000.0,2024,Audi,Q3,Sportback Technology
2023 Tata Tigor XZ Plus Leatherette Pack,126,Petrol,775000.0,2023,Tata,Tigor,XZ Plus Leatherette Pack
2024 Tata Altroz Racer R3,3520,Petrol,1099000.0,2024,Tata,Altroz,Racer R3
2025 Skoda kylaq Prestige AT,8343,Petrol,1360000.0,2025,Skoda,kylaq,Prestige AT
2023 Tata Altroz XZ iCNG,19234,Petrol,925000.0,2023,Tata,Altroz,XZ iCNG
2024 Audi Q7 Technology 55 TFSI,4500,Petrol,8000000.0,2024,Audi,Q7,Technology 55 TFSI
2024 Audi Q5 Technology 45 TFSI [2021-2024],11000,Petrol,5400000.0,2024,Audi,Q5,Technology 45 TFSI [2021-2024]
2023 Mercedes-Benz EQE SUV 500 4MATIC,32227,Electric,8000000.0,2023,Mercedes-Benz,EQE,SUV 500 4MATIC
2024 Mercedes-Benz GLS 450 4MATIC,7635,Petrol,14600000.0,2024,Mercedes-Benz,GLS,450 4MATIC
2024 Mercedes-Benz E-Class E 220 d Avantgarde,9852,Diesel,9000000.0,2024,Mercedes-Benz,E-Class,E 220 d Avantgarde
2018 Toyota Innova Crysta 2.4 G 8 STR [2016-2017],58000,Diesel,1559000.0,2018,Toyota,Innova Crysta,2.4 G 8 STR [2016-2017]
2018 BMW X3 xDrive 20d Luxury Line [2018-2020],55154,Diesel,3400000.0,2018,BMW,X3,xDrive 20d Luxury Line [2018-2020]
2018 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],67000,Diesel,2064999.0,2018,Toyota,Innova Crysta,2.8 ZX AT 7 STR [2016-2020]
2025 Mercedes-Benz GLE 450 4MATIC LWB,5500,Petrol,9800000.0,2025,Mercedes-Benz,GLE,450 4MATIC LWB
2020 Kia Sonet GTX Plus 1.0 iMT [2020-2021],28249,Petrol,869999.0,2020,Kia,Sonet,GTX Plus 1.0 iMT [2020-2021]
2020 Kia Seltos HTX 1.5 [2020-2021],22101,Petrol,1114000.0,2020,Kia,Seltos,HTX 1.5 [2020-2021]
2024 Hyundai Grand i10 NIOS Sportz 1.2 Kappa AMT,29763,Petrol,672000.0,2024,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa AMT
2022 Tata Punch Accomplished MT [2021-2023],37221,Petrol,635000.0,2022,Tata,Punch,Accomplished MT [2021-2023]
2022 Renault Kiger RXZ Turbo CVT,21818,Petrol,802000.0,2022,Renault,Kiger,RXZ Turbo CVT
2021 Tata Nexon XZA Plus (O) Diesel,24174,Diesel,1006000.0,2021,Tata,Nexon,XZA Plus (O) Diesel
2022 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,48261,Petrol,592000.0,2022,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG
2021 Kia Sonet GTX Plus 1.5 AT [2020-2021],41684,Diesel,1109000.0,2021,Kia,Sonet,GTX Plus 1.5 AT [2020-2021]
2023 Tata Altroz XZA Plus Petrol [2022-2023],29955,Petrol,774000.0,2023,Tata,Altroz,XZA Plus Petrol [2022-2023]
2018 Tata Nexon XZ Plus,60721,Petrol,610000.0,2018,Tata,Nexon,XZ Plus
2015 Maruti Suzuki Alto 800 Lxi (Airbag) [2012-2015],39373,Petrol,246000.0,2015,Maruti Suzuki,Alto 800,Lxi (Airbag) [2012-2015]
2021 Kia Sonet HTX 1.0 iMT [2020-2021],23941,Petrol,811999.0,2021,Kia,Sonet,HTX 1.0 iMT [2020-2021]
2023 Tata Nexon XZA Plus (S),23037,Petrol,992000.0,2023,Tata,Nexon,XZA Plus (S)
2022 Tata Harrier XZA Plus,58911,Diesel,1583000.0,2022,Tata,Harrier,XZA Plus
2019 Maruti Suzuki Swift VXi AMT,31668,Petrol,584000.0,2019,Maruti Suzuki,Swift,VXi AMT
2021 Maruti Suzuki Wagon R LXi (O) 1.0 CNG,80378,Petrol,575000.0,2021,Maruti Suzuki,Wagon R,LXi (O) 1.0 CNG
2009 Hyundai Santro GL,111042,Petrol,125000.0,2009,Hyundai,Santro,GL
2022 Tata Nexon XZA Plus Kaziranga,33274,Petrol,1039000.0,2022,Tata,Nexon,XZA Plus Kaziranga
2021 Ford Ecosport S Petrol [2019-2020],9489,Petrol,928999.0,2021,Ford,Ecosport,S Petrol [2019-2020]
2019 Hyundai Grand i10 NIOS Asta 1.2 Kappa VTVT,32512,Petrol,556000.0,2019,Hyundai,Grand i10 Nios,Asta 1.2 Kappa VTVT
2013 Maruti Suzuki Swift DZire ZXI,67687,Petrol,421000.0,2013,Maruti Suzuki,Swift Dzire,ZXI
2023 Tata Tigor XZA Plus [2020-2023],21290,Petrol,709000.0,2023,Tata,Tigor,XZA Plus [2020-2023]
2016 Volkswagen Polo Comfortline 1.2L (P),22096,Petrol,478000.0,2016,Volkswagen,Polo,Comfortline 1.2L (P)
2022 Tata Harrier XZA Plus Dark Edition,31451,Diesel,1742000.0,2022,Tata,Harrier,XZA Plus Dark Edition
2017 Maruti Suzuki Ciaz ZXI+,66663,Petrol,591000.0,2017,Maruti Suzuki,Ciaz,ZXI+
2023 Tata Punch Accomplished MT [2021-2023],18872,Petrol,680000.0,2023,Tata,Punch,Accomplished MT [2021-2023]
2023 Tata Altroz XM Plus Petrol,27961,Petrol,597000.0,2023,Tata,Altroz,XM Plus Petrol
2022 Tata Harrier XZA Plus Dark Edition,31451,Diesel,1717000.0,2022,Tata,Harrier,XZA Plus Dark Edition
2023 Hyundai Venue SX 1.2 Petrol,20145,Petrol,898000.0,2023,Hyundai,Venue,SX 1.2 Petrol
2019 Hyundai Creta SX 1.6 AT Petrol,52692,Petrol,1186000.0,2019,Hyundai,Creta,SX 1.6 AT Petrol
2022 Tata Harrier Kaziranga XZA Plus,48678,Diesel,1657999.0,2022,Tata,Harrier,Kaziranga XZA Plus
2022 Tata Nexon XZ Plus (S) [2022-2023],29030,Petrol,925000.0,2022,Tata,Nexon,XZ Plus (S) [2022-2023]
2023 Maruti Suzuki Wagon R ZXI Plus 1.2 AGS [2023-2025],22661,Petrol,612000.0,2023,Maruti Suzuki,Wagon R,ZXI Plus 1.2 AGS [2023-2025]
2023 Maruti Suzuki Alto K10 VXi [2023-2024],21192,Petrol,480999.0,2023,Maruti Suzuki,Alto K10,VXi [2023-2024]
2023 Tata Nexon Creative Plus 1.2 Petrol 6AMT [2023-2025],3381,Petrol,1019999.0,2023,Tata,Nexon,Creative Plus 1.2 Petrol 6AMT [2023-2025]
2019 Honda WR-V VX MT Petrol,40889,Petrol,677000.0,2019,Honda,WR-V,VX MT Petrol
2017 Maruti Suzuki DZire VXi,27155,Petrol,529000.0,2017,Maruti Suzuki,DZire,VXi
2014 Honda City VX Petrol CVT [2023-2025],61452,Petrol,561000.0,2014,Honda,City,VX Petrol CVT [2023-2025]
2024 Hyundai Venue S (O) Plus 1.2 Petrol,9765,Petrol,881000.0,2024,Hyundai,Venue,S (O) Plus 1.2 Petrol
2019 Kia Seltos GTX Plus 1.4 DCT,34921,Petrol,1267000.0,2019,Kia,Seltos,GTX Plus 1.4 DCT
2023 Mahindra Thar LX Hard Top Diesel MT 4WD,48180,Diesel,1334000.0,2023,Mahindra,Thar,LX Hard Top Diesel MT 4WD
2023 Hyundai Verna SX (O) 1.5 Turbo Petrol DCT,47021,Petrol,1423000.0,2023,Hyundai,Verna,SX (O) 1.5 Turbo Petrol DCT
2019 Hyundai Verna EX 1.4 VTVT,18656,Petrol,752000.0,2019,Hyundai,Verna,EX 1.4 VTVT
2024 Tata Altroz Racer R3,4716,Petrol,932000.0,2024,Tata,Altroz,Racer R3
2022 Kia Sonet HTX 1.0 iMT [2020-2021],33286,Petrol,872000.0,2022,Kia,Sonet,HTX 1.0 iMT [2020-2021]
2022 Tata Nexon XZA Plus (Premium) Jet,19016,Petrol,960000.0,2022,Tata,Nexon,XZA Plus (Premium) Jet
2017 Renault Duster RXS CVT,63272,Petrol,699000.0,2017,Renault,Duster,RXS CVT
2018 Maruti Suzuki Baleno Alpha Automatic,53378,Petrol,695000.0,2018,Maruti Suzuki,Baleno,Alpha Automatic
2023 Hyundai Venue SX (O) 1.0 Turbo DCT,8314,Petrol,1295000.0,2023,Hyundai,Venue,SX (O) 1.0 Turbo DCT
2021 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],44736,Diesel,1425000.0,2021,Mahindra,Thar,LX Hard Top Diesel AT 4WD [2023]
2023 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],13498,Diesel,1630999.0,2023,Mahindra,Thar,LX Hard Top Diesel AT 4WD [2023]
2023 Mahindra XUV700 AX 7 Petrol AT Luxury Pack 7 STR [2021],26097,Petrol,2048999.0,2023,Mahindra,XUV700,AX 7 Petrol AT Luxury Pack 7 STR [2021]
2022 Jeep Compass Model S (O) Diesel 4x4 AT,48606,Diesel,2349000.0,2022,Jeep,Compass,Model S (O) Diesel 4x4 AT
2020 Tata Nexon XM,17763,Petrol,795000.0,2020,Tata,Nexon,XM
2023 Kia Seltos GTX Plus 1.5 Turbo Petrol DCT [2023-2024],21571,Petrol,1850000.0,2023,Kia,Seltos,GTX Plus 1.5 Turbo Petrol DCT [2023-2024]
2016 Maruti Suzuki Swift ZXi,64078,Petrol,585000.0,2016,Maruti Suzuki,Swift,ZXi
2021 MG Hector Sharp 2.0 Diesel [2019-2020],42196,Diesel,1575000.0,2021,MG,Hector,Sharp 2.0 Diesel [2019-2020]
2022 Mahindra XUV700 AX7 Luxury Pack 2WD Diesel 2.2L Turbo Automatic 7 STR,50315,Diesel,2175000.0,2022,Mahindra,XUV700,AX7 Luxury Pack 2WD Diesel 2.2L Turbo Automatic 7 STR
2017 Mahindra XUV500 W8 AT [2015-2017],70788,Diesel,1095000.0,2017,Mahindra,XUV500,W8 AT [2015-2017]
2019 Maruti Suzuki Vitara Brezza ZDi Plus,47909,Diesel,950000.0,2019,Maruti Suzuki,Vitara Brezza,ZDi Plus
2022 Volkswagen Taigun GT Plus 1.5 TSI DSG,56222,Petrol,1595000.0,2022,Volkswagen,Taigun,GT Plus 1.5 TSI DSG
2022 Mahindra XUV700 AX7 Luxury Pack 2WD Diesel 2.2L Turbo Automatic 7 STR,35787,Diesel,2275000.0,2022,Mahindra,XUV700,AX7 Luxury Pack 2WD Diesel 2.2L Turbo Automatic 7 STR
2020 BMW X1 sDrive20d xLine,42512,Diesel,3099000.0,2020,BMW,X1,sDrive20d xLine
2021 Volkswagen Taigun Topline 1.0 TSI MT,22721,Petrol,1250000.0,2021,Volkswagen,Taigun,Topline 1.0 TSI MT
2021 Tata Harrier XT Plus,29899,Diesel,1698999.0,2021,Tata,Harrier,XT Plus
2022 Hyundai Venue S 1.2 Petrol,26292,Petrol,799000.0,2022,Hyundai,Venue,S 1.2 Petrol
2018 BMW X1 sDrive20d xLine,36620,Diesel,2675000.0,2018,BMW,X1,sDrive20d xLine
2021 BMW 3-Series 330i M Sport Edition,46780,Petrol,3900000.0,2021,BMW,3-Series,330i M Sport Edition
2016 BMW 3-Series 320d Luxury Line,55800,Diesel,2150000.0,2016,BMW,3-Series,320d Luxury Line
2016 BMW 5-Series 520d Luxury Line [2017-2019],54000,Diesel,2595000.0,2016,BMW,5-Series,520d Luxury Line [2017-2019]
2018 Hyundai Creta SX 1.6 AT Petrol,72874,Petrol,1050000.0,2018,Hyundai,Creta,SX 1.6 AT Petrol
2023 Hyundai Venue N Line N6 MT,7348,Petrol,1199000.0,2023,Hyundai,Venue,N Line N6 MT
2018 Honda BR-V V CVT Petrol,20909,Petrol,911000.0,2018,Honda,BR-V,V CVT Petrol
2022 Maruti Suzuki S-Cross Zeta,35410,Petrol,949000.0,2022,Maruti Suzuki,S-Cross,Zeta
2016 Hyundai Creta 1.6 S Petrol,71260,Petrol,769000.0,2016,Hyundai,Creta,1.6 S Petrol
2015 Hyundai i20 Active 1.2 S,31514,Petrol,549000.0,2015,Hyundai,i20,Active 1.2 S
2021 Skoda Kushaq Style 1.5L TSI DSG (6 Airbags),40859,Petrol,1489000.0,2021,Skoda,Kushaq,Style 1.5L TSI DSG (6 Airbags)
2020 Hyundai Grand i10 NIOS Asta AMT 1.2 Kappa VTVT,51217,Petrol,635000.0,2020,Hyundai,Grand i10 Nios,Asta AMT 1.2 Kappa VTVT
2023 Kia Seltos GTX Plus (S) 1.5 Turbo Petrol DCT [2023-2024],3182,Petrol,1895000.0,2023,Kia,Seltos,GTX Plus (S) 1.5 Turbo Petrol DCT [2023-2024]
2023 Kia Seltos GTX Plus 1.5 Diesel AT,17466,Diesel,1948999.0,2023,Kia,Seltos,GTX Plus 1.5 Diesel AT
2023 Kia Seltos GTX Plus 1.5 Diesel AT,24885,Diesel,1948999.0,2023,Kia,Seltos,GTX Plus 1.5 Diesel AT
2023 Mahindra Thar LX Hard Top Petrol AT RWD,24120,Petrol,1395000.0,2023,Mahindra,Thar,LX Hard Top Petrol AT RWD
2018 Mahindra XUV500 W11 AT,85713,Diesel,1395000.0,2018,Mahindra,XUV500,W11 AT
2021 Hyundai Elite i20 Asta 1.2 IVT,31954,Petrol,825000.0,2021,Hyundai,Elite i20,Asta 1.2 IVT
2021 Hyundai Elite i20 Sportz 1.2 MT [2020-2023],27150,Petrol,789000.0,2021,Hyundai,Elite i20,Sportz 1.2 MT [2020-2023]
2022 Kia Seltos HTX IVT 1.5 [2019-2020],22602,Petrol,1343000.0,2022,Kia,Seltos,HTX IVT 1.5 [2019-2020]
2020 Kia Seltos GTX Plus 1.4 [2020-2021],60517,Petrol,1171000.0,2020,Kia,Seltos,GTX Plus 1.4 [2020-2021]
2023 Jeep Compass Limited (O) 2.0 Diesel 4x4 AT [2021],19189,Diesel,2875000.0,2023,Jeep,Compass,Limited (O) 2.0 Diesel 4x4 AT [2021]
2016 Volkswagen Polo GT TSI,29519,Petrol,875000.0,2016,Volkswagen,Polo,GT TSI
2023 MG Hector Plus Savvy Pro 1.5 Turbo Petrol CVT 6 STR,29981,Petrol,1948999.0,2023,MG,Hector Plus,Savvy Pro 1.5 Turbo Petrol CVT 6 STR
2022 BMW 3-Series 330i M Sport Dark,43542,Petrol,4200000.0,2022,BMW,3-Series,330i M Sport Dark
2020 Volkswagen Polo Highline Plus 1.0L TSI,49158,Petrol,875000.0,2020,Volkswagen,Polo,Highline Plus 1.0L TSI
2021 Hyundai i20 N Line N8 1.0 Turbo DCT,35263,Petrol,935000.0,2021,Hyundai,i20 N Line,N8 1.0 Turbo DCT
2018 Renault Duster RXS CVT,57077,Petrol,775000.0,2018,Renault,Duster,RXS CVT
